Statement ID,Statement Topic,Statement Content,Statement Importance,Statement Classification,Statement Ideology Score,Processed
023,['Social Justice'],"Which, understand what that(Trump abortion bans that make no exception even for rape and incest) means: A survivor of a crime of violation to their body, does not have the right to make a decision about what happens to their body next.",1,1,-1,True
024,['Social Justice'],"And one does not have to abandon their faith or deeply held beliefs to agree the government, and Donald Trump certainly, should not be telling a woman what to do with her body.",1,1,-1,True
025,['Social Justice'],"And I pledge to you when Congress passes a bill to put back in place the protections of Roe v. Wade as President of the United States, I will proudly sign it into law.",1,1,-1,True
026,['Social Justice'],"But understand, if Donald Trump were to be re-elected, he will sign a national abortion ban.",1,1,-1,True
027,['Social Justice'],"Understand, in his(Trump’s) Project 2025 there would be a national abortion--a monitor that would be monitoring your pregnancies, your miscarriages.",0,0,-1,True
028,['Social Justice'],"I absolutely support reinstating the protections of Roe v. Wade. And as you rightly mentioned, nowhere in America is a woman carrying a pregnancy to term and, and, and asking for an abortion. That is not happening. It's insulting to the women of America.",1,1,-1,True
029,['Social Justice'],"And understand what has been happening under Donald Trump's abortion bans. Couples who pray and, and, and dream of having a family are being denied IVF treatments.",1,1,-1,True
030,['Healthcare'],"What is happening in our country (under Donald Trump's abortion bans), working people, working women who are working one or two jobs, who can barely afford childcare as it is, have to travel to another state--to get on a plane sitting next to strangers--to go and get the health care she needs. Barely can afford to do it, and what you are putting her through is unconscionable.",1,1,-1,True
031,['Social Justice'],"And the people of America have not--the, the majority of Americans believe in a woman's right to make decisions about her own body. And that is why in every state where this issue has been on the ballot, in red and blue states both, the people of America have voted for freedom.",1,1,-1,True
032,"['Gun Control', 'Immigration']","So I'm the only person on this stage who has prosecuted transnational criminal organizations for the trafficking of guns, drugs, and human beings.",1,1,5,True
033,['Immigration'],"And let me say that the United States Congress, including some of the most conservative members of the United States Senate, came up with a border security bill which I supported.",1,1,5,True
034,['Immigration'],And that (border security)bill would have put fifteen hundred more border agents on the border to help those folks who are workin' there right now overtime trying to do their job.,1,1,5,True
035,['Immigration'],It(border security) would have allowed us to stem the flow of fentanyl coming into the United States.,1,1,5,True
036,"['Gun Control', 'Immigration']","That (border security) bill would have put more resources to allow us to prosecute transnational criminal organizations for trafficking in guns, drugs and human beings.",1,1,5,True
037,['Immigration'],"Donald Trump got on the phone, called up some folks in Congress, and said kill the (border security)bill.",1,1,10,True
038,['Social Justice'],"You will see, during the course of his(Trump’s) rallies he talks about fictional characters like Hannibal Lecter.",0,0,-1,True
039,['Climate'],He will talk about windmills cause cancer.,1,1,10,True
040,['Government Policy'],"This is one of the reasons why in this election I actually have the endorsement of 200 Republicans who have formally worked with President Bush, Mitt Romney, and John McCain including the endorsement of former Vice President Dick Cheney and Congress Member Liz Cheney.",1,1,5,True
041,['Government Policy'],"His former Chief of Staff, a four-star general, has said he has contempt for the Constitution of the United States.",0,0,-1,True
042,['Foreign Policy'],His(Trump’s) former National Security Adviser has said he is dangerous and unfit.,0,0,-1,True
043,['Social Justice'],"His(Trump’s) former Secretary of Defense has said the nation, the republic would never survive another Trump term.",0,0,-1,True
044,['Government Policy'],"Coming from someone (Trump) who has been prosecuted for national security crimes, economic crimes, election interference, has been found liable for sexual assault, and his next big court appearance is in November at his own criminal sentencing.",0,0,-1,True
045,['Government Policy'],"The former Vice President [sic] called for defunding, federal law enforcement, 45,000 agents, get this, on the day after he was arraigned on 34 felony counts.",1,1,-1,True
046,[],"And address the needs of the American people, address what we need to do about the housing shortage, which I have a plan for.",1,1,5,True
047,['Economy'],Address what we must do to support our small businesses.,1,1,5,True
048,['Economy'],Address bringing down the price of groceries.,1,1,5,True
049,['Government Policy'],The United States Supreme Court recently ruled that the former President would essentially be immune from any misconduct if he were to enter the White House again.,1,1,5,True
050,['Government Policy'],"Understand, this(Trump) is someone who has openly said he would terminate, I'm quoting, terminate the Constitution of the United States.",1,1,-1,True
051,['Government Policy'],That he(Trump) would weaponize the Department of Justice against his political enemies.,1,1,-1,True
052,['Social Justice'],Someone(Trump) who has openly expressed disdain for members of our military.,1,1,-1,True
053,['Government Policy'],"Understand what it would mean if Donald Trump were back in the White House with no guardrails. Because certainly, we know now the Court won't stop him. We know J.D. Vance is not gonna stop him. It's up to the American people to stop him.",0,0,-1,True
054,['Climate'],I made that very clear in 2020. I will not ban fracking.,1,1,5,True
055,['Climate'],I have not banned fracking as Vice President of the United States.,1,1,5,True
056,['Economy'],"And, in fact, I was the tie-breaking vote on the Inflation Reduction Act, which opened new leases for fracking.",1,1,5,True
057,['Climate'],My position is that we have got to invest in diverse sources of energy so we reduce our reliance on foreign oil.,1,1,5,True
058,['Economy'],We have had the largest increase in domestic oil production in history because of an approach that recognizes that we cannot over-rely on foreign oil.,1,1,5,True
059,['Economy'],"The values I bring to the importance of home ownership is a value that I bring to my work, to say we are going to work with the private sector and home builders to increase 3 million homes, increase by 3 million homes by the end of my first term.",1,1,5,True
060,['Social Justice'],"And my focus then, on protecting women and children from violent crime, is based on a value that is deeply grounded in the importance of standing up for those who are most vulnerable.",1,1,-1,True
061,['Social Justice'],My work that is about protecting social security and Medicare is based on long-standing work that I have done--protecting seniors from scams.,1,1,0,True
062,['Government Policy'],"I was at the Capitol on January 6th. And on that day, the President of the United States incited a violent mob to attack our nation's Capitol, to desecrate our nation's Capitol. On that day, 140 law enforcement officers were injured. And some died. And understand, the former President has been indicted and impeached for exactly that reason.",1,1,-1,True
063,['Social Justice'],"Let's remember Charlottesville, where there was a mob of people carrying tiki torches, spewing antisemitic hate, and what did the President then at the time say? There were fine people on each side. Let's remember that when it came to the Proud Boys, a militia, the President said, the former President said, ""Stand back and stand by.""",1,1,-1,True
064,['Social Justice'],"So for everyone watching who remembers what January 6th was, I say we don't have to go back. Let's not go back. We're not going back.",0,0,-1,True
065,['Government Policy'],"Donald Trump the candidate has said in this election there will be a bloodbath, if this--and the outcome of this election is not to his liking.",0,0,-1,True
066,['Social Justice'],Donald Trump was fired by 81 million people.,0,0,-1,True
067,['Government Policy'],But we cannot afford to have a President of the United States who attempts as he(Trump) did in the past to upend the will of the voters in a free and fair election.,1,1,-1,True
068,['Foreign Policy'],"And world leaders are laughing at Donald Trump. I have talked with military leaders, some of whom worked with you(Trump). And they say you're a disgrace.",0,0,-1,True
069,['Foreign Policy'],"On Oct. 7, Hamas, a terrorist organization, slaughtered twelve hundred Israelis. Many of them young people who were simply attending a concert. Women were horribly raped.",1,1,10,True
070,['Foreign Policy'],"And so absolutely, I said then, I say now, Israel has a right to defend itself. We would.",1,1,5,True
071,['Foreign Policy'],"And how it(Israel) does(defends it self) so matters. Because it is also true, far too many innocent Palestinians have been killed. Children, mothers.",1,1,0,True
072,['Foreign Policy'],"What we know is that this war must end. It must when--end immediately, and the way it will end is we need a cease-fire deal and we need the hostages out.",1,1,5,True
073,['Foreign Policy'],"Work around the clock also understanding that we must chart a course for a two-state solution. And in that solution, there must be security for the Israeli people and Israel and in equal measure for the Palestinians.",1,1,5,True
074,['Foreign Policy'],"But the one thing I will assure you always, I will always give Israel the ability to defend itself, in particular as it rates--relates to Iran and any threat that Iran and its proxies pose to Israel.",1,1,5,True
075,['Foreign Policy'],"But we must have a two-state solution where we can rebuild Gaza, where the Palestinians have security, self-determination and the dignity they so rightly deserve.",1,1,-1,True
076,['Foreign Policy'],I have my entire career and life supported Israel and the Israeli people.,1,1,10,True
077,['Foreign Policy'],It is very well known that Donald Trump is weak and wrong on national security and foreign policy.,1,1,-1,True
078,['Social Justice'],"It is well known that he（Trump） admires dictators, wants to be a dictator on day one according to himself.",0,0,-1,True
079,['Foreign Policy'],It is well known that he（Trump） said of Putin that he can do whatever the hell he wants and go into Ukraine.,1,1,5,True
080,['Foreign Policy'],It is well known that he（Trump） said when Russia went into Ukraine it was brilliant.,1,1,10,True
081,['Foreign Policy'],It is well known he（Trump） exchanged love letters with Kim Jong Un.,0,0,-1,True
082,['Foreign Policy'],"And it is absolutely well known that these dictators and autocrats are rooting for you（Trump） to be president again because they're so clear, they can manipulate you with flattery and favors. And that is why so many military leaders who you have worked with have told me you are a disgrace. That is why we understand that we have to have a president who is not consistently weak and wrong on national security, including the importance of upholding and respecting in highest regard our military.",1,1,-1,True
083,['Foreign Policy'],"Uh, I actually met with Zelenskyy a few days before Russia invaded, tried through force to change territorial boundaries, to defy one of the most important international rules and norms, which is the importance of sovereignty and territorial integrity. And I met with President Zelenskyy. I shared with him American intelligence about how he could defend himself.",1,1,5,True
084,['Foreign Policy'],"Days later I went to NATO's eastern flank, to Poland and Romania. And through the work that I and others did, we brought 50 countries together to support Ukraine in its righteous defense.",1,1,5,True
085,['Foreign Policy'],"And because of our support, because of the air defense, the ammunition, the artillery, the javelins, the Abrams tanks that we have provided, Ukraine stands as an independent and free country.",1,1,5,True
086,['Foreign Policy'],"If Donald Trump were President, Putin would be sitting in Kyiv right now.",1,1,-1,True
087,['Foreign Policy'],"Because Putin's agenda is not just about Ukraine. Understand why the European allies and our NATO allies are so thankful that you are no longer President and that we understand the importance of the greatest military alliance the world has ever known, which is NATO and what we have done to preserve the ability of Zelenskyy and the Ukrainians to fight for their Independence. Otherwise, Putin would be sitting in Kyiv with his eyes on the rest of Europe.",1,1,5,True
088,['Foreign Policy'],"(Puting)Starting with Poland (with his eyes on the rest of Europe). And why don't you tell the 800,000 Polish Americans right here in Pennsylvania how quickly you would give up, for the sake of favor and what you think is a friendship, with what is known to be a dictator who would eat you for lunch.",1,1,5,True
089,['Foreign Policy'],"When I went to meet with President Zelenskyy, I've now met with him over five times. The reality is, it has been about standing as America always should, as a leader upholding international nul--rules and norms. As a leader who shows strength, understanding that the alliances we have around the world are dependent on our ability to look out for our friends and not favor our enemies, because you adore strongmen instead of caring about democracy.",1,2,5,True
090,['Foreign Policy'],The President of the United States is Commander-in-Chief. And the American people have a right to rely on a president who understands the significance of America's role and responsibility in terms of ensuring that there is stability and ensuring we stand up for our principles and not sell them for the--for the benefit of personal flattery.,1,1,5,True
091,['Foreign Policy'],"Well, I will tell you, I agreed with President Biden's decision to pull out of Afghanistan.",1,1,5,True
092,['Foreign Policy'],"Four presidents said they would (pull out of Afghanistan), and Joe Biden did.",1,1,5,True
093,['Foreign Policy'],"And as a result of (pulling out of Afghanistan), America's taxpayers are not paying the $300 million a day we were paying for that endless war.",1,1,5,True
094,['Veterans Affairs'],"And as of today, there is not one member of the United States military who is in active duty in a combat zone in any war zone around the world--the first time this century.",1,1,5,True
095,['Foreign Policy'],"Donald Trump when he was President negotiated one of the weakest deals you can imagine. He calls himself a dealmaker. Even his National Security Adviser said it was a weak, terrible deal.",1,1,-1,True
096,['Foreign Policy'],"He(Trump) bypassed the Afghan government. He negotiated directly with a terrorist organization called the Taliban. The negotiation involved the Taliban getting 5,000 terrorists, Taliban terrorists, released.",1,1,-1,True
097,['Foreign Policy'],And the President at the time (Trump) invited the Taliban to Camp David.,1,1,5,True
098,[],"And this former President(Trump) as President invited them to Camp David because he does not again appreciate the role and responsibility of the President of the United States to be Commander in Chief with a level of respect. And this gets back to the point of how he has consistently disparaged and demeaned members of our military, fallen soldiers, and the work that we must do to uphold the strength and the respect of the United States of America around the world.",1,1,-1,True
099,['Social Justice'],I think it's a tragedy that we have someone who wants to be President who has consistently over the course of his career attempted to use race to divide the American people.,0,0,-1,True
100,['Social Justice'],"You know, I do believe that the vast majority of us know that we have so much more in common than what separates us.",0,0,-1,True
101,['Social Justice'],"And we don't want this kind of approach that is just constantly trying to divide us, and especially by race.",1,1,-1,True
102,['Social Justice'],"He(Trump) was a, a, a—land, he owned land, he owned buildings, and he was investigated because he refused to rent property to Black families.",1,1,-1,True
103,['Social Justice'],"Let's remember, this is the same individual(Trump) who took out a full-page ad in The New York Times calling for the execution of five young Black and Latino boys who were innocent, the Central Park Five. Took out a full-page ad calling for their execution.
This is the same individual who spread birther lies about the first Black President of the United States.",1,1,-1,True
104,['Social Justice'],"Want someone who understands as I do, I travel our country, we see in each other a friend. We see in each other a neighbor. We don't want a leader who is constantly trying to have Americans point their fingers at each other.",0,0,-1,True
105,['Social Justice'],"Knowing that regardless of people's color or the language their grandmother speaks we all have the same dreams and aspirations and want a president who invests in those, not in hate and division.",0,0,-1,True
106,[],"And what I do offer is a new generation of leadership for our country. One who believes in what is possible, one who brings a sense of optimism about what we can do instead of always disparaging the American people.",0,0,-1,True
107,['Economy'],"I believe in what we can do to strengthen our small businesses, which is why I have a plan. I have a plan to give startup businesses $50,000 tax deduction, to pursue their ambitions, their innovation, their ideas, their hard work.",1,1,5,True
108,['Education'],"I have a plan. $6,000 for young families for the first year of your child's life. To help you in that most critical stage of your child's development.",1,1,5,True
109,[],"I have a plan that is about allowing people to be able to pursue what has been fleeting in terms of the American dream, by offering a help with down payment of $25,000, down payment assistance for first-time home buyers.",1,1,5,True
110,['Healthcare'],"Well, first of all, I absolutely support and over the last four years as Vice President, private health care options.",1,1,5,True
111,['Healthcare'],But what we need to do is maintain and grow the Affordable Care Act.,1,1,-1,True
112,['Gun Control'],Tim Walz and I are both gun owners. We're not taking anybody's guns away.,1,1,5,True
113,['Healthcare'],"When Donald Trump was president, 60 times he tried to get rid of the Affordable Care Act. 60 times.",1,1,-1,True
114,['Healthcare'],"The late great John McCain walked onto the Senate floor and said no, you(Trump) don't get rid of the Affordable Care Act. You have no plan.",1,1,-1,True
115,['Healthcare'],And what the Affordable Care Act has done is eliminate the ability of insurance companies to deny people with pre-existing conditions.,1,1,-1,True
116,['Healthcare'],"Remember when an insurance company could deny if a child had asthma, if someone was a breast cancer survivor, if a grandparent had diabetes?",1,1,-1,True
117,['Healthcare'],"And thankfully, as I've been Vice President and we over the last four years have strengthened the Affordable Care Act, we have allowed for the first time Medicare to negotiate drug prices on behalf of you the American people.",1,1,-1,True
118,['Healthcare'],Donald Trump said he was gonna allow Medicare to negotiate drug prices. He never did.,1,1,-1,True
119,['Healthcare'],And now we have capped the cost of insulin at $35 a month.,1,1,-1,True
120,['Healthcare'],"Since I've been Vice President we have capped the cost of prescription medication for seniors at $2,000 a year.",1,1,-1,True
121,['Healthcare'],"And when I am President we will do that for all people, understanding that the value I bring to this is that access to health care should be a right and not just a privilege of those who can afford it.",1,1,-1,True
122,['Healthcare'],"And the plan has to be to strengthen the Affordable Care Act, not get rid of it--the past is prologue in terms of where Donald Trump stands on that.",1,1,-1,True
123,['Climate'],"Well, the former President had said that climate change is a hoax.",1,1,-1,True
124,['Climate'],And what we know is that it(climate change) is very real. We know that we can actually deal with this issue.,1,1,-1,True
125,['Climate'],The young people of America care deeply about this issue(climate change).,1,1,-1,True
126,"['Economy', 'Climate']",And I am proud that as Vice President over the last four years we have invested a trillion dollars in a clean energy economy while we have also increased domestic gas production to historic levels.,1,1,5,True
127,['Economy'],"We have created over 800,000 new manufacturing jobs while I have been Vice President.",1,1,5,True
128,['Climate'],We have invested in clean energy to the point that we are opening up factories around the world.,1,1,5,True
129,['Economy'],Donald Trump said he was going to create manufacturing jobs. He lost manufacturing jobs.,1,2,10,True
130,"['Economy', 'Climate']","And I'm also proud to have the endorsement of the United Auto Workers and Shawn Fain, who also know that part of building a clean energy economy includes investing in American-made products, American automobiles.",1,1,-1,True
131,"['Economy', 'Climate']","It(building a clean energy economy) includes growing what we can do around American manufacturing and opening up auto plants, not closing them like happened under Donald Trump.",1,1,-1,True
132,['Social Justice'],"And I do believe that the American people know we all have so much more in common than what separates us, and we can chart a new way forward.",0,0,-1,True
133,"['Economy', 'Social Justice']","And a vision of that includes having a plan, understanding the aspirations, the dreams, the hopes, the ambition of the American people, which is why I intend to create an opportunity economy, investing in small businesses, in new families, in what we can do around protecting seniors, what we can do that is about giving hard-working folks a break in bringing down the cost of living.",1,1,-1,True
134,['Foreign Policy'],I believe in what we can do together that is about sustaining America's standing in the world and ensuring we have the respect that we so rightly deserve including respecting our military and ensuring we have the most lethal fighting force in the world.,1,1,5,True
135,['Social Justice'],I will be a President that will protect our fundamental rights and freedoms including the right of a woman to make decisions about her own body and not have her government tell her what to do.,1,1,-1,True
136,['Government Policy'],I intend to be a president for all Americans and focus on what we can do over the next 10 and 20 years to build back up our country by investing right now in you the American people.,1,1,5,True
